env,geno,ttime,da_sow2,zadok_stage_A,yield_A,yield_d,biomass_LargeError,biomass_MediumError,biomass_NoError,gw_d,g_no_d,maturity,flowering
Emerald_1993,g031,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g032,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g033,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g034,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g035,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g036,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g037,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g038,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g039,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g040,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g041,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g042,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g043,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g044,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g045,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g046,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g047,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g048,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g049,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g050,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g051,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g052,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g053,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g054,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g055,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g056,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g057,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g058,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g059,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g060,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g061,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g062,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g063,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g064,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g065,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g066,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g067,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g068,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g069,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g070,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g071,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g072,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g073,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g074,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g075,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g076,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g077,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g078,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g079,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g080,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g081,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g082,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g083,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g084,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g085,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g086,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g087,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g088,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g089,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g090,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g091,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g092,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g093,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g094,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g095,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g096,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g097,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g098,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g099,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g100,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g101,43.25,1,5,0,*,*,*,0,*,*,0,0
Emerald_1993,g102,43.25,1,5,0,*,*,*,0,*,*,0,0
